id_empresa;nombre_empresa;marca;tipo_gas;tamano;medida;precio;id_comuna;nombre_comuna;id_region;nombre_region;fecha_consulta;fecha_actualizacion
licc1310101;LIPIGAS;lipigas;normal;5;kg;12250;13101;Santiago Centro;13;Metropolitana de Santiago;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;normal;11;kg;19550;13101;Santiago Centro;13;Metropolitana de Santiago;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;normal;15;kg;25950;13101;Santiago Centro;13;Metropolitana de Santiago;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;normal;45;kg;80450;13101;Santiago Centro;13;Metropolitana de Santiago;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;12250;13101;Santiago Centro;13;Metropolitana de Santiago;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19550;13101;Santiago Centro;13;Metropolitana de Santiago;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;25950;13101;Santiago Centro;13;Metropolitana de Santiago;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;80450;13101;Santiago Centro;13;Metropolitana de Santiago;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;normal;5;kg;13150;15101;Arica;15;Arica y Parinacota;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;normal;11;kg;22190;15101;Arica;15;Arica y Parinacota;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;normal;15;kg;26350;15101;Arica;15;Arica y Parinacota;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;normal;45;kg;95700;15101;Arica;15;Arica y Parinacota;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15101;Arica;15;Arica y Parinacota;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15101;Arica;15;Arica y Parinacota;2022-04-01 09:30:29.158587;2022-03-31 09:30:29.158587
