id_empresa;nombre_empresa;marca;tipo_gas;tamano;medida;precio;id_comuna;nombre_comuna;id_region;nombre_region;fecha_consulta;fecha_actualizacion
licc1310101;LIPIGAS;lipigas;normal;5;kg;13750;13101;Santiago Centro;13;Metropolitana de Santiago;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;11;kg;20350;13101;Santiago Centro;13;Metropolitana de Santiago;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;15;kg;26450;13101;Santiago Centro;13;Metropolitana de Santiago;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;45;kg;80150;13101;Santiago Centro;13;Metropolitana de Santiago;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;13750;13101;Santiago Centro;13;Metropolitana de Santiago;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;20350;13101;Santiago Centro;13;Metropolitana de Santiago;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;26450;13101;Santiago Centro;13;Metropolitana de Santiago;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;80150;13101;Santiago Centro;13;Metropolitana de Santiago;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;5;kg;14150;15101;Arica;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;11;kg;23490;15101;Arica;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;15;kg;28000;15101;Arica;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;45;kg;100100;15101;Arica;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15101;Arica;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15101;Arica;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15101;Arica;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15101;Arica;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;5;kg;14150;15102;Camarones;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;11;kg;23490;15102;Camarones;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;15;kg;28000;15102;Camarones;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;45;kg;111640;15102;Camarones;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15102;Camarones;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15102;Camarones;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15102;Camarones;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15102;Camarones;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;5;kg;14150;15201;Putre;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;11;kg;23490;15201;Putre;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;15;kg;28000;15201;Putre;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;45;kg;111640;15201;Putre;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15201;Putre;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15201;Putre;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15201;Putre;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15201;Putre;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;5;kg;14150;15202;General Lagos;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;11;kg;23490;15202;General Lagos;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;15;kg;28000;15202;General Lagos;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;45;kg;111640;15202;General Lagos;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15202;General Lagos;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15202;General Lagos;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15202;General Lagos;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15202;General Lagos;15;Arica y Parinacota;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;5;kg;14300;01101;Iquique;01;Tarapacá;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;11;kg;22500;01101;Iquique;01;Tarapacá;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;15;kg;26900;01101;Iquique;01;Tarapacá;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;45;kg;102600;01101;Iquique;01;Tarapacá;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10140;01101;Iquique;01;Tarapacá;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;9950;01101;Iquique;01;Tarapacá;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;21780;01101;Iquique;01;Tarapacá;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;76890;01101;Iquique;01;Tarapacá;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;5;kg;14300;01107;Alto Hospicio;01;Tarapacá;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
licc1310101;LIPIGAS;lipigas;normal;11;kg;22500;01107;Alto Hospicio;01;Tarapacá;2022-08-16 09:30:13.347438;2022-08-15 09:30:13.347438
