id_empresa;nombre_empresa;marca;tipo_gas;tamano;medida;precio;id_comuna;nombre_comuna;id_region;nombre_region;fecha_consulta;fecha_actualizacion
licc1310101;LIPIGAS;lipigas;normal;5;kg;12700;13101;Santiago Centro;13;Metropolitana de Santiago;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;normal;11;kg;20550;13101;Santiago Centro;13;Metropolitana de Santiago;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;normal;15;kg;27700;13101;Santiago Centro;13;Metropolitana de Santiago;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;normal;45;kg;85500;13101;Santiago Centro;13;Metropolitana de Santiago;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;12700;13101;Santiago Centro;13;Metropolitana de Santiago;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;20550;13101;Santiago Centro;13;Metropolitana de Santiago;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;27700;13101;Santiago Centro;13;Metropolitana de Santiago;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;85500;13101;Santiago Centro;13;Metropolitana de Santiago;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;normal;5;kg;13600;15101;Arica;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;normal;11;kg;23190;15101;Arica;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;normal;15;kg;27450;15101;Arica;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;normal;45;kg;99950;15101;Arica;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15101;Arica;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15101;Arica;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15101;Arica;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15101;Arica;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;normal;5;kg;13600;15102;Camarones;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;normal;11;kg;23190;15102;Camarones;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;normal;15;kg;27450;15102;Camarones;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;normal;45;kg;111490;15102;Camarones;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15102;Camarones;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15102;Camarones;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15102;Camarones;15;Arica y Parinacota;2022-03-23 09:30:22.192229;2022-03-22 09:30:22.192229
