id_empresa;nombre_empresa;marca;tipo_gas;tamano;medida;precio;id_comuna;nombre_comuna;id_region;nombre_region;fecha_consulta;fecha_actualizacion
licc1310101;LIPIGAS;lipigas;normal;5;kg;12550;13101;Santiago Centro;13;Metropolitana de Santiago;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;11;kg;19850;13101;Santiago Centro;13;Metropolitana de Santiago;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;15;kg;26100;13101;Santiago Centro;13;Metropolitana de Santiago;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;45;kg;78650;13101;Santiago Centro;13;Metropolitana de Santiago;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;12550;13101;Santiago Centro;13;Metropolitana de Santiago;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19850;13101;Santiago Centro;13;Metropolitana de Santiago;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;26100;13101;Santiago Centro;13;Metropolitana de Santiago;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;78650;13101;Santiago Centro;13;Metropolitana de Santiago;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;5;kg;13450;15101;Arica;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;11;kg;22640;15101;Arica;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;15;kg;26900;15101;Arica;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;45;kg;96750;15101;Arica;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15101;Arica;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15101;Arica;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15101;Arica;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15101;Arica;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;5;kg;13450;15102;Camarones;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;11;kg;22640;15102;Camarones;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;15;kg;26900;15102;Camarones;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;45;kg;108290;15102;Camarones;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15102;Camarones;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15102;Camarones;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15102;Camarones;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15102;Camarones;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;5;kg;13450;15201;Putre;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;11;kg;22640;15201;Putre;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;15;kg;26900;15201;Putre;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;45;kg;108290;15201;Putre;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15201;Putre;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15201;Putre;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;15;kg;24500;15201;Putre;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;45;kg;73050;15201;Putre;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;5;kg;13450;15202;General Lagos;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;11;kg;22640;15202;General Lagos;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;15;kg;26900;15202;General Lagos;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;normal;45;kg;108290;15202;General Lagos;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;5;kg;10940;15202;General Lagos;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
licc1310101;LIPIGAS;lipigas;catalitico;11;kg;19750;15202;General Lagos;15;Arica y Parinacota;2022-05-30 09:30:10.804051;2022-05-29 09:30:10.804051
